         22117845 function calls (22082351 primitive calls) in 663.007 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   112078    0.022    0.000    0.022    0.000 {method 'lower' of 'str' objects}
    15438    0.022    0.000    0.079    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\descriptors\base.py:160(__set__)
   104346    0.021    0.000    0.021    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\cell\read_only.py:108(value)
    67208    0.021    0.000    0.021    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\cell\read_only.py:112(value)
     1566    0.020    0.000    0.187    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\zipfile.py:256(_EndRecData)
    24021    0.020    0.000    0.068    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\odf\element.py:402(get_nsprefix)
    11499    0.020    0.000    0.020    0.000 {method 'match' of 're.Pattern' objects}
     2612    0.020    0.000    0.021    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\constraint.py:453(set_value)
     2898    0.019    0.000    0.398    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\table.py:124(row)
     8244    0.019    0.000    0.023    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\copy.py:242(_keep_alive)
    10102    0.019    0.000    0.038    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\odf\attrconverters.py:1600(convert)
       30    0.018    0.001    0.018    0.001 {built-in method nt.remove}
     6932    0.018    0.000    0.036    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\odf\load.py:105(endElementNS)
   108872    0.018    0.000    0.018    0.000 {method 'popleft' of 'collections.deque' objects}
    43241    0.018    0.000    0.018    0.000 {method 'startswith' of 'str' objects}
     7434    0.018    0.000    0.018    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\base.py:26(__iter__)
     6952    0.018    0.000    0.031    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\expr\symbol_map.py:83(createSymbol)
    10089    0.017    0.000    0.020    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\odf\element.py:255(_append_child)
     6971    0.017    0.000    0.039    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\odf\element.py:509(getAttrNS)
     1426    0.016    0.000    0.093    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\defusedxml\ElementTree.py:80(__init__)
     2771    0.016    0.000    0.511    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\zipfile.py:899(read)
     6928    0.016    0.000    0.124    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\odf\element.py:420(addElement)
     3100    0.016    0.000    0.023    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\posixpath.py:71(join)
    14529    0.016    0.000    0.016    0.000 {built-in method _struct.unpack}
